var_names,OlinkID,Assay,UniProt,Panel,Panel_Version,Protein target,Short name,gene_name
OID20414,OID20414,EFEMP1,Q12805,CARDIOMETABOLIC,1,EGF-containing fibulin-like extracellular matrix protein 1 ,EFEMP1,EFEMP1
OID20346,OID20346,ART3,Q13508,CARDIOMETABOLIC,1,Ecto-ADP-ribosyltransferase 3 ,ART3,ART3
OID20352,OID20352,ITIH3,Q06033,CARDIOMETABOLIC,1,Inter-alpha-trypsin inhibitor heavy chain H3 ,ITIH3,ITIH3
OID20129,OID20129,TSHB,P01222,CARDIOMETABOLIC,1,Thyrotropin subunit beta ,TSHB,TSHB
OID20227,OID20227,FBP1,P09467,CARDIOMETABOLIC,1,"Fructose-1,6-bisphosphatase 1 ",FBP1,FBP1
OID20412,OID20412,CCL5,P13501,CARDIOMETABOLIC,1,C-C motif chemokine 5 ,CCL5,CCL5
OID20112,OID20112,ITGB1BP2,Q9UKP3,CARDIOMETABOLIC,1,Integrin beta-1-binding protein 2 ,ITGB1BP2,ITGB1BP2
OID20403,OID20403,ANG,P03950,CARDIOMETABOLIC,1,Angiogenin ,ANG,ANG
OID20169,OID20169,SDC1,P18827,CARDIOMETABOLIC,1,Syndecan-1 ,SDC1,SDC1
OID20228,OID20228,CTSL,P07711,CARDIOMETABOLIC,1,Cathepsin L1 ,CTSL,CTSL
OID20091,OID20091,WASF1,Q92558,CARDIOMETABOLIC,1,Wiskott-Aldrich syndrome protein family member 1 ,WASF1,WASF1
OID20416,OID20416,GGH,Q92820,CARDIOMETABOLIC,1,Gamma-glutamyl hydrolase ,GGH,GGH
OID20233,OID20233,FAM3C,Q92520,CARDIOMETABOLIC,1,Protein FAM3C ,FAM3C,FAM3C
OID20275,OID20275,MSMB,P08118,CARDIOMETABOLIC,1,Beta-microseminoprotein ,MSMB,MSMB
OID20277,OID20277,ICAM3,P32942,CARDIOMETABOLIC,1,Intercellular adhesion molecule 3 ,ICAM3,ICAM3
OID20382,OID20382,FCN2,Q15485,CARDIOMETABOLIC,1,Ficolin-2 ,FCN2,FCN2
OID20388,OID20388,TFPI,P10646,CARDIOMETABOLIC,1,Tissue factor pathway inhibitor ,TFPI,TFPI
OID20162,OID20162,EIF4EBP1,Q13541,CARDIOMETABOLIC,1,Eukaryotic translation initiation factor 4E-binding protein 1 ,EIF4EBP1,EIF4EBP1
OID20405,OID20405,COMP,P49747,CARDIOMETABOLIC,1,Cartilage oligomeric matrix protein ,COMP,COMP
OID20153,OID20153,CXCL8,P10145,CARDIOMETABOLIC,1,Interleukin-8 ,CXCL8,CXCL8
OID20080,OID20080,MTPN,P58546,CARDIOMETABOLIC,1,Myotrophin ,MTPN,MTPN
OID20326,OID20326,PI3,P19957,CARDIOMETABOLIC,1,Elafin ,PI3,PI3
OID20370,OID20370,KIT,P10721,CARDIOMETABOLIC,1,Mast/stem cell growth factor receptor Kit ,KIT,KIT
OID20404,OID20404,FETUB,Q9UGM5,CARDIOMETABOLIC,1,Fetuin-B ,FETUB,FETUB
OID20267,OID20267,IL2RA,P01589,CARDIOMETABOLIC,1,Interleukin-2 receptor subunit alpha ,IL2RA,IL2RA
OID20282,OID20282,CXCL16,Q9H2A7,CARDIOMETABOLIC,1,C-X-C motif chemokine 16 ,CXCL16,CXCL16
OID20168,OID20168,MEP1B,Q16820,CARDIOMETABOLIC,1,Meprin A subunit beta ,MEP1B,MEP1B
OID20402,OID20402,PROC,P04070,CARDIOMETABOLIC,1,Vitamin K-dependent protein C ,PROC,PROC
OID20098,OID20098,THPO,P40225,CARDIOMETABOLIC,1,Thrombopoietin ,THPO,THPO
OID20183,OID20183,OLR1,P78380,CARDIOMETABOLIC,1,Oxidized low-density lipoprotein receptor 1 ,OLR1,OLR1
OID20329,OID20329,PRTN3,P24158,CARDIOMETABOLIC,1,Myeloblastin ,PRTN3,PRTN3
OID20186,OID20186,SEMA3F,Q13275,CARDIOMETABOLIC,1,Semaphorin-3F ,SEMA3F,SEMA3F
OID20170,OID20170,CDH2,P19022,CARDIOMETABOLIC,1,Cadherin-2 ,CDH2,CDH2
OID20181,OID20181,CANT1,Q8WVQ1,CARDIOMETABOLIC,1,Soluble calcium-activated nucleotidase 1 ,CANT1,CANT1
OID20225,OID20225,CA13,Q8N1Q1,CARDIOMETABOLIC,1,Carbonic anhydrase 13 ,CA13,CA13
OID20333,OID20333,AMY2A,P04746,CARDIOMETABOLIC,1,Pancreatic alpha-amylase ,AMY2A,AMY2A
OID20315,OID20315,ITGB2,P05107,CARDIOMETABOLIC,1,Integrin beta-2 ,ITGB2,ITGB2
OID20263,OID20263,MB,P02144,CARDIOMETABOLIC,1,Myoglobin,MB,MB
OID20149,OID20149,PM20D1,Q6GTS8,CARDIOMETABOLIC,1,N-fatty-acyl-amino acid synthase/hydrolase PM20D1 ,PM20D1,PM20D1
OID20243,OID20243,CDH5,P33151,CARDIOMETABOLIC,1,Cadherin-5 ,CDH5,CDH5
OID20276,OID20276,CTSB,P07858,CARDIOMETABOLIC,1,Cathepsin B ,CTSB,CTSB
OID20246,OID20246,IGFBP1,P08833,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein 1 ,IGFBP1,IGFBP1
OID20198,OID20198,CLUL1,Q15846,CARDIOMETABOLIC,1,Clusterin-like protein 1 ,CLUL1,CLUL1
OID20176,OID20176,PPP1R2,P41236,CARDIOMETABOLIC,1,Protein phosphatase inhibitor 2 ,PPP1R2,PPP1R2
OID20406,OID20406,DPP4,P27487,CARDIOMETABOLIC,1,Dipeptidyl peptidase 4 ,DPP4,DPP4
OID20115,OID20115,MSTN,O14793,CARDIOMETABOLIC,1,Growth/differentiation factor 8 ,MSTN,MSTN
OID20328,OID20328,CCL15,Q16663,CARDIOMETABOLIC,1,C-C motif chemokine 15 ,CCL15,CCL15
OID20313,OID20313,PDGFA,P04085,CARDIOMETABOLIC,1,Platelet-derived growth factor subunit A ,PDGFA,PDGFA
OID20218,OID20218,SNAP23,O00161,CARDIOMETABOLIC,1,Synaptosomal-associated protein 23 ,SNAP23,SNAP23
OID20400,OID20400,CST3,P01034,CARDIOMETABOLIC,1,Cystatin-C ,CST3,CST3
OID20165,OID20165,CLEC5A,Q9NY25,CARDIOMETABOLIC,1,C-type lectin domain family 5 member A ,CLEC5A,CLEC5A
OID20193,OID20193,CDHR5,Q9HBB8,CARDIOMETABOLIC,1,Cadherin-related family member 5 ,CDHR5,CDHR5
OID20081,OID20081,EDIL3,O43854,CARDIOMETABOLIC,1,EGF-like repeat and discoidin I-like domain-containing protein 3 ,EDIL3,EDIL3
OID20311,OID20311,NOTCH1,P46531,CARDIOMETABOLIC,1,Neurogenic locus notch homolog protein 1 ,NOTCH1,NOTCH1
OID20197,OID20197,PILRB,Q9UKJ0,CARDIOMETABOLIC,1,Paired immunoglobulin-like type 2 receptor beta ,PILRB,PILRB
OID20327,OID20327,RETN,Q9HD89,CARDIOMETABOLIC,1,Resistin ,RETN,RETN
OID20288,OID20288,ENPP2,Q13822,CARDIOMETABOLIC,1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 ,ENPP2,ENPP2
OID20172,OID20172,FCRL1,Q96LA6,CARDIOMETABOLIC,1,Fc receptor-like protein 1 ,FCRL1,FCRL1
OID20411,OID20411,ICAM1,P05362,CARDIOMETABOLIC,1,Intercellular adhesion molecule 1 ,ICAM1,ICAM1
OID20390,OID20390,NRP1,O14786,CARDIOMETABOLIC,1,Neuropilin-1 ,NRP1,NRP1
OID20317,OID20317,PLXNB2,O15031,CARDIOMETABOLIC,1,Plexin-B2 ,PLXNB2,PLXNB2
OID20174,OID20174,QDPR,P09417,CARDIOMETABOLIC,1,Dihydropteridine reductase ,QDPR,QDPR
OID20182,OID20182,SSC4D,Q8WTU2,CARDIOMETABOLIC,1,Scavenger receptor cysteine-rich domain-containing group B protein ,SSC4D,SSC4D
OID20356,OID20356,OSMR,Q99650,CARDIOMETABOLIC,1,Oncostatin-M-specific receptor subunit beta ,OSMR,OSMR
OID20362,OID20362,NID1,P14543,CARDIOMETABOLIC,1,Nidogen-1 ,NID1,NID1
OID20264,OID20264,DKK3,Q9UBP4,CARDIOMETABOLIC,1,Dickkopf-related protein 3 ,DKK3,DKK3
OID20304,OID20304,SIRPA,P78324,CARDIOMETABOLIC,1,Tyrosine-protein phosphatase non-receptor type substrate 1 ,SIRPA,SIRPA
OID20145,OID20145,ICAM5,Q9UMF0,CARDIOMETABOLIC,1,Intercellular adhesion molecule 5 ,ICAM5,ICAM5
OID20374,OID20374,APOM,O95445,CARDIOMETABOLIC,1,Apolipoprotein M ,APOM,APOM
OID20363,OID20363,AXL,P30530,CARDIOMETABOLIC,1,Tyrosine-protein kinase receptor UFO ,AXL,AXL
OID20384,OID20384,PCOLCE,Q15113,CARDIOMETABOLIC,1,Procollagen C-endopeptidase enhancer 1 ,PCOLCE,PCOLCE
OID20086,OID20086,COMT,P21964,CARDIOMETABOLIC,1,Catechol O-methyltransferase ,COMT,COMT
OID20177,OID20177,CD2AP,Q9Y5K6,CARDIOMETABOLIC,1,CD2-associated protein ,CD2AP,CD2AP
OID20089,OID20089,ADAMTS16,Q8TE57,CARDIOMETABOLIC,1,A disintegrin and metalloproteinase with thrombospondin motifs 16 ,ADAMTS16,ADAMTS16
OID20146,OID20146,PRKAR1A,P10644,CARDIOMETABOLIC,1,cAMP-dependent protein kinase type I-alpha regulatory subunit ,PRKAR1A,PRKAR1A
OID20298,OID20298,CELA3A,P09093,CARDIOMETABOLIC,1,Chymotrypsin-like elastase family member 3A ,CELA3A,CELA3A
OID20074,OID20074,TNF,P01375,CARDIOMETABOLIC,1,Tumor necrosis factor ,TNF,TNF
OID20378,OID20378,CD14,P08571,CARDIOMETABOLIC,1,Monocyte differentiation antigen CD14 ,CD14,CD14
OID20339,OID20339,CD59,P13987,CARDIOMETABOLIC,1,CD59 glycoprotein ,CD59,CD59
OID20229,OID20229,NRCAM,Q92823,CARDIOMETABOLIC,1,Neuronal cell adhesion molecule ,NRCAM,NRCAM
OID20398,OID20398,IGFBP3,P17936,CARDIOMETABOLIC,1,Insulin-like growth factor-binding protein 3 ,IGFBP3,IGFBP3
OID20223,OID20223,CHRDL2,Q6WN34,CARDIOMETABOLIC,1,Chordin-like protein 2 ,CHRDL2,CHRDL2
OID20108,OID20108,PAG1,Q9NWQ8,CARDIOMETABOLIC,1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1 ,PAG1,PAG1
OID20354,OID20354,NCAM1,P13591,CARDIOMETABOLIC,1,Neural cell adhesion molecule 1 ,NCAM1,NCAM1
OID20391,OID20391,FCGR2A,P12318,CARDIOMETABOLIC,1,Low affinity immunoglobulin gamma Fc region receptor II-a ,FCGR2A,FCGR2A
OID20110,OID20110,USP8,P40818,CARDIOMETABOLIC,1,Ubiquitin carboxyl-terminal hydrolase 8 ,USP8,USP8
OID20114,OID20114,BAG6,P46379,CARDIOMETABOLIC,1,Large proline-rich protein BAG6 ,BAG6,BAG6
OID20418,OID20418,TIMP1,P01033,CARDIOMETABOLIC,1,Metalloproteinase inhibitor 1 ,TIMP1,TIMP1
OID20136,OID20136,NTRK2,Q16620,CARDIOMETABOLIC,1,BDNF/NT-3 growth factors receptor ,NTRK2,NTRK2
OID20139,OID20139,AGXT,P21549,CARDIOMETABOLIC,1,Serine--pyruvate aminotransferase ,AGXT,AGXT
OID20373,OID20373,RARRES2,Q99969,CARDIOMETABOLIC,1,Retinoic acid receptor responder protein 2 ,RARRES2,RARRES2
OID20057,OID20057,MFAP3,P55082,CARDIOMETABOLIC,1,Microfibril-associated glycoprotein 3,MFAP3,MFAP3
OID20345,OID20345,VASN,Q6EMK4,CARDIOMETABOLIC,1,Vasorin ,VASN,VASN
OID20135,OID20135,SNX9,Q9Y5X1,CARDIOMETABOLIC,1,Sorting nexin-9 ,SNX9,SNX9
OID20065,OID20065,HK2,P52789,CARDIOMETABOLIC,1,Hexokinase-2 ,HK2,HK2
OID20347,OID20347,CNDP1,Q96KN2,CARDIOMETABOLIC,1,Beta-Ala-His dipeptidase ,CNDP1,CNDP1
OID20083,OID20083,PTN,P21246,CARDIOMETABOLIC,1,Pleiotrophin ,PTN,PTN
OID20134,OID20134,CDH17,Q12864,CARDIOMETABOLIC,1,Cadherin-17 ,CDH17,CDH17
OID20351,OID20351,SSC5D,A1L4H1,CARDIOMETABOLIC,1,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D ,SSC5D,SSC5D
OID20055,OID20055,CRHR1,P34998,CARDIOMETABOLIC,1,Corticotropin-releasing factor receptor 1 ,CRHR1,CRHR1
OID20247,OID20247,PLAT,P00750,CARDIOMETABOLIC,1,Tissue-type plasminogen activator ,PLAT,PLAT
OID20349,OID20349,F9,P00740,CARDIOMETABOLIC,1,Coagulation factor IX ,F9,F9
OID20059,OID20059,DUOX2,Q9NRD8,CARDIOMETABOLIC,1,Dual oxidase 2 ,DUOX2,DUOX2
OID20368,OID20368,THBS4,P35443,CARDIOMETABOLIC,1,Thrombospondin-4,THBS4,THBS4
OID20075,OID20075,CA5A,P35218,CARDIOMETABOLIC,1,"Carbonic anhydrase 5A, mitochondrial ",CA5A,CA5A
OID20237,OID20237,UMOD,P07911,CARDIOMETABOLIC,1,Uromodulin ,UMOD,UMOD
OID20244,OID20244,CES1,P23141,CARDIOMETABOLIC,1,Liver carboxylesterase 1 ,CES1,CES1
OID20056,OID20056,TSLP,Q969D9,CARDIOMETABOLIC,1,Thymic stromal lymphopoietin,TSLP,TSLP
OID20070,OID20070,CRX,O43186,CARDIOMETABOLIC,1,Cone-rod homeobox protein,CRX,CRX
OID20271,OID20271,CA3,P07451,CARDIOMETABOLIC,1,Carbonic anhydrase 3 ,CA3,CA3
OID20239,OID20239,MFAP5,Q13361,CARDIOMETABOLIC,1,Microfibrillar-associated protein 5 ,MFAP5,MFAP5
OID20152,OID20152,CGREF1,Q99674,CARDIOMETABOLIC,1,Cell growth regulator with EF hand domain protein 1 ,CGREF1,CGREF1
OID20082,OID20082,ZBTB17,Q13105,CARDIOMETABOLIC,1,Zinc finger and BTB domain-containing protein 17 ,ZBTB17,ZBTB17
OID20380,OID20380,CD46,P15529,CARDIOMETABOLIC,1,Membrane cofactor protein ,CD46,CD46
OID20141,OID20141,TGM2,P21980,CARDIOMETABOLIC,1,Protein-glutamine gamma-glutamyltransferase 2 ,TGM2,TGM2
OID20072,OID20072,SUSD1,Q6UWL2,CARDIOMETABOLIC,1,Sushi domain-containing protein 1,SUSD1,SUSD1
OID20062,OID20062,AKR1C4,P17516,CARDIOMETABOLIC,1,Aldo-keto reductase family 1 member C4 ,AKR1C4,AKR1C4
OID20375,OID20375,TIMD4,Q96H15,CARDIOMETABOLIC,1,T-cell immunoglobulin and mucin domain-containing protein 4 ,TIMD4,TIMD4
OID20253,OID20253,NOTCH3,Q9UM47,CARDIOMETABOLIC,1,Neurogenic locus notch homolog protein 3 ,NOTCH3,NOTCH3
OID20296,OID20296,GUSB,P08236,CARDIOMETABOLIC,1,Beta-glucuronidase ,GUSB,GUSB
OID20353,OID20353,CDH1,P12830,CARDIOMETABOLIC,1,Cadherin-1 ,CDH1,CDH1
OID20095,OID20095,GPR37,O15354,CARDIOMETABOLIC,1,Prosaposin receptor GPR37 ,GPR37,GPR37
OID20068,OID20068,TIA1,P31483,CARDIOMETABOLIC,1,Nucleolysin TIA-1 isoform p40 ,TIA1,TIA1
OID20283,OID20283,SEMA7A,O75326,CARDIOMETABOLIC,1,Semaphorin-7A ,SEMA7A,SEMA7A
OID20371,OID20371,TFF3,Q07654,CARDIOMETABOLIC,1,Trefoil factor 3 ,TFF3,TFF3
OID20268,OID20268,PDGFRB,P09619,CARDIOMETABOLIC,1,Platelet-derived growth factor receptor beta ,PDGFRB,PDGFRB
OID20330,OID20330,FAP,Q12884,CARDIOMETABOLIC,1,Prolyl endopeptidase FAP ,FAP,FAP
OID20355,OID20355,LBP,P18428,CARDIOMETABOLIC,1,Lipopolysaccharide-binding protein ,LBP,LBP
OID20338,OID20338,PGLYRP1,O75594,CARDIOMETABOLIC,1,Peptidoglycan recognition protein 1 ,PGLYRP1,PGLYRP1
OID20364,OID20364,PRSS2,P07478,CARDIOMETABOLIC,1,Trypsin-2 ,PRSS2,PRSS2
OID20102,OID20102,CEACAM8,P31997,CARDIOMETABOLIC,1,Carcinoembryonic antigen-related cell adhesion molecule 8 ,CEACAM8,CEACAM8
OID20357,OID20357,HYAL1,Q12794,CARDIOMETABOLIC,1,Hyaluronidase-1 ,HYAL1,HYAL1
OID20365,OID20365,CTSZ,Q9UBR2,CARDIOMETABOLIC,1,Cathepsin Z ,CTSZ,CTSZ
OID20343,OID20343,MCAM,P43121,CARDIOMETABOLIC,1,Cell surface glycoprotein MUC18 ,MCAM,MCAM
OID20250,OID20250,IL1RL1,Q01638,CARDIOMETABOLIC,1,Interleukin-1 receptor-like 1 ,IL1RL1,IL1RL1
OID20085,OID20085,LRMP,Q12912,CARDIOMETABOLIC,1,Lymphoid-restricted membrane protein ,LRMP,IRAG2
OID20067,OID20067,VSTM2L,Q96N03,CARDIOMETABOLIC,1,V-set and transmembrane domain-containing protein 2-like protein,VSTM2L,VSTM2L
OID20301,OID20301,LILRB2,Q8N423,CARDIOMETABOLIC,1,Leukocyte immunoglobulin-like receptor subfamily B member 2 ,LILRB2,LILRB2
OID20230,OID20230,HSPB1,P04792,CARDIOMETABOLIC,1,Heat shock protein beta-1 ,HSPB1,HSPB1
OID20215,OID20215,DDC,P20711,CARDIOMETABOLIC,1,Aromatic-L-amino-acid decarboxylase ,DDC,DDC
OID20213,OID20213,SORT1,Q99523,CARDIOMETABOLIC,1,Sortilin ,SORT1,SORT1
OID20084,OID20084,FGFR1OP,O95684,CARDIOMETABOLIC,1,FGFR1 oncogene partner,FGFR1OP,CEP43
OID20319,OID20319,EGFR,P00533,CARDIOMETABOLIC,1,Epidermal growth factor receptor ,EGFR,EGFR
OID20063,OID20063,HEBP1,Q9NRV9,CARDIOMETABOLIC,1,Heme-binding protein 1 ,HEBP1,HEBP1
OID20342,OID20342,SERPINE1,P05121,CARDIOMETABOLIC,1,Plasminogen activator inhibitor 1 ,SERPINE1,SERPINE1
OID20478,OID20478,YTHDF3,Q7Z739,INFLAMMATION,1,YTH domain-containing family protein 3,YTHDF3,YTHDF3
OID20488,OID20488,IL1A,P01583,INFLAMMATION,1,Interleukin-1 alpha ,IL1A,IL1A
OID20755,OID20755,ADGRE2,Q9UHX3,INFLAMMATION,1,Adhesion G protein-coupled receptor E2 ,ADGRE2,ADGRE2
OID20469,OID20469,IL17A,Q16552,INFLAMMATION,1,Interleukin-17A ,IL17A,IL17A
OID20495,OID20495,IFNG,P01579,INFLAMMATION,1,Interferon gamma ,IFNG,IFNG
OID20765,OID20765,CCL22,O00626,INFLAMMATION,1,C-C motif chemokine 22 ,CCL22,CCL22
OID20484,OID20484,ICA1,Q05084,INFLAMMATION,1,Islet cell autoantigen 1 ,ICA1,ICA1
OID20567,OID20567,NCF2,P19878,INFLAMMATION,1,Neutrophil cytosol factor 2 ,NCF2,NCF2
OID20562,OID20562,IL15,P40933,INFLAMMATION,1,Interleukin-15 ,IL15,IL15
OID20472,OID20472,IL5,P05113,INFLAMMATION,1,Interleukin-5 ,IL5,IL5
OID20758,OID20758,ESM1,Q9NQ30,INFLAMMATION,1,Endothelial cell-specific molecule 1 ,ESM1,ESM1
OID20463,OID20463,FXYD5,Q96DB9,INFLAMMATION,1,FXYD domain-containing ion transport regulator 5 ,FXYD5,FXYD5
OID20744,OID20744,DNPH1,O43598,INFLAMMATION,1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 ,DNPH1,DNPH1
OID20452,OID20452,AOC1,P19801,INFLAMMATION,1,Amiloride-sensitive amine oxidase [copper-containing] ,AOC1,AOC1
OID20651,OID20651,ADAM23,O75077,INFLAMMATION,1,Disintegrin and metalloproteinase domain-containing protein 23 ,ADAM23,ADAM23
OID20652,OID20652,IL18R1,Q13478,INFLAMMATION,1,Interleukin-18 receptor 1 ,IL18R1,IL18R1
OID20742,OID20742,CRKL,P46109,INFLAMMATION,1,Crk-like protein,CRKL,CRKL
OID20733,OID20733,TNFSF13,O75888,INFLAMMATION,1,Tumor necrosis factor ligand superfamily member 13 ,TNFSF13,TNFSF13
OID20584,OID20584,CD4,P01730,INFLAMMATION,1,T-cell surface glycoprotein CD4 ,CD4,CD4
OID20533,OID20533,TRIM21,P19474,INFLAMMATION,1,E3 ubiquitin-protein ligase TRIM21 ,TRIM21,TRIM21
OID20516,OID20516,VASH1,Q7L8A9,INFLAMMATION,1,Tubulinyl-Tyr carboxypeptidase 1 ,VASH1,VASH1
OID20431,OID20431,IL10,P22301,INFLAMMATION,1,Interleukin-10 ,IL10,IL10
OID20458,OID20458,CXCL14,O95715,INFLAMMATION,1,C-X-C motif chemokine 14 ,CXCL14,CXCL14
OID20764,OID20764,PLAUR,Q03405,INFLAMMATION,1,Urokinase plasminogen activator surface receptor ,PLAUR,PLAUR
OID20576,OID20576,IL4R,P24394,INFLAMMATION,1,Interleukin-4 receptor subunit alpha ,IL4R,IL4R
OID20537,OID20537,SIGLEC10,Q96LC7,INFLAMMATION,1,Sialic acid-binding Ig-like lectin 10 ,SIGLEC10,SIGLEC10
OID20715,OID20715,FGF19,O95750,INFLAMMATION,1,Fibroblast growth factor 19 ,FGF19,FGF19
OID20449,OID20449,IL22RA1,Q8N6P7,INFLAMMATION,1,Interleukin-22 receptor subunit alpha-1 ,IL22RA1,IL22RA1
OID20698,OID20698,EGF,P01133,INFLAMMATION,1,Pro-epidermal growth factor ,EGF,EGF
OID20509,OID20509,SPINK4,O60575,INFLAMMATION,1,Serine protease inhibitor Kazal-type 4 ,SPINK4,SPINK4
OID20558,OID20558,BCR,P11274,INFLAMMATION,1,Breakpoint cluster region protein ,BCR,BCR
OID20457,OID20457,SCGN,O76038,INFLAMMATION,1,Secretagogin,SCGN,SCGN
OID20441,OID20441,CEP164,Q9UPV0,INFLAMMATION,1,Centrosomal protein of 164 kDa ,CEP164,CEP164
OID20703,OID20703,ANGPTL4,Q9BY76,INFLAMMATION,1,Angiopoietin-related protein 4 ,ANGPTL4,ANGPTL4
OID20662,OID20662,VEGFD,O43915,INFLAMMATION,1,Vascular endothelial growth factor D ,VEGFD,VEGFD
OID20630,OID20630,SERPINB8,P50452,INFLAMMATION,1,Serpin B8 ,SERPINB8,SERPINB8
OID20763,OID20763,PRSS8,Q16651,INFLAMMATION,1,Prostasin ,PRSS8,PRSS8
OID20658,OID20658,AGRP,O00253,INFLAMMATION,1,Agouti-related protein,AGRP,AGRP
OID20786,OID20786,AGRN,O00468,INFLAMMATION,1,Agrin,AGRN,AGRN
OID20773,OID20773,LGMN,Q99538,INFLAMMATION,1,Legumain ,LGMN,LGMN
OID20759,OID20759,SPON1,Q9HCB6,INFLAMMATION,1,Spondin-1 ,SPON1,SPON1
OID20740,OID20740,ANGPT1,Q15389,INFLAMMATION,1,Angiopoietin-1 ,ANGPT1,ANGPT1
OID20534,OID20534,PSIP1,O75475,INFLAMMATION,1,PC4 and SFRS1-interacting protein ,PSIP1,PSIP1
OID20524,OID20524,DAPP1,Q9UN19,INFLAMMATION,1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide ,DAPP1,DAPP1
OID20552,OID20552,MAP2K6,P52564,INFLAMMATION,1,Dual specificity mitogen-activated protein kinase kinase 6 ,MAP2K6,MAP2K6
OID20714,OID20714,SHMT1,P34896,INFLAMMATION,1,"Serine hydroxymethyltransferase, cytosolic ",SHMT1,SHMT1
OID20632,OID20632,KLRD1,Q13241,INFLAMMATION,1,Natural killer cells antigen CD94 ,KLRD1,KLRD1
OID20626,OID20626,BSG,P35613,INFLAMMATION,1,Basigin ,BSG,BSG
OID20587,OID20587,PIK3AP1,Q6ZUJ8,INFLAMMATION,1,Phosphoinositide 3-kinase adapter protein 1 ,PIK3AP1,PIK3AP1
OID20656,OID20656,HGF,P14210,INFLAMMATION,1,Hepatocyte growth factor ,HGF,HGF
OID20500,OID20500,PARP1,P09874,INFLAMMATION,1,Poly [ADP-ribose] polymerase 1 ,PARP1,PARP1
OID20619,OID20619,IDS,P22304,INFLAMMATION,1,Iduronate 2-sulfatase ,IDS,IDS
OID20551,OID20551,GOPC,Q9HD26,INFLAMMATION,1,Golgi-associated PDZ and coiled-coil motif-containing protein ,GOPC,GOPC
OID20713,OID20713,BTN2A1,Q7KYR7,INFLAMMATION,1,Butyrophilin subfamily 2 member A1,BTN2A1,BTN2A1
OID20685,OID20685,PLA2G4A,P47712,INFLAMMATION,1,Cytosolic phospholipase A2 ,PLA2G4A,PLA2G4A
OID20636,OID20636,CLEC7A,Q9BXN2,INFLAMMATION,1,C-type lectin domain family 7 member A ,CLEC7A,CLEC7A
OID20668,OID20668,CCL11,P51671,INFLAMMATION,1,Eotaxin ,CCL11,CCL11
OID20616,OID20616,CD40LG,P29965,INFLAMMATION,1,CD40 ligand ,CD40LG,CD40LG
OID20778,OID20778,FABP1,P07148,INFLAMMATION,1,"Fatty acid-binding protein, liver ",FABP1,FABP1
OID20774,OID20774,DAG1,Q14118,INFLAMMATION,1,Dystroglycan ,DAG1,DAG1
OID20732,OID20732,MZB1,Q8WU39,INFLAMMATION,1,Marginal zone B- and B1-cell-specific protein ,MZB1,MZB1
OID20720,OID20720,SPINT2,O43291,INFLAMMATION,1,Kunitz-type protease inhibitor 2 ,SPINT2,SPINT2
OID20664,OID20664,CLSTN2,Q9H4D0,INFLAMMATION,1,Calsyntenin-2 ,CLSTN2,CLSTN2
OID20752,OID20752,CTRC,Q99895,INFLAMMATION,1,Chymotrypsin-C ,CTRC,CTRC
OID20580,OID20580,LY75,O60449,INFLAMMATION,1,Lymphocyte antigen 75 ,LY75,LY75
OID20569,OID20569,CCL28,Q9NRJ3,INFLAMMATION,1,C-C motif chemokine 28 ,CCL28,CCL28
OID20734,OID20734,ROBO1,Q9Y6N7,INFLAMMATION,1,Roundabout homolog 1 ,ROBO1,ROBO1
OID20697,OID20697,CXCL10,P02778,INFLAMMATION,1,C-X-C motif chemokine 10 ,CXCL10,CXCL10
OID20612,OID20612,TLR3,O15455,INFLAMMATION,1,Toll-like receptor 3 ,TLR3,TLR3
OID20614,OID20614,PCDH1,Q08174,INFLAMMATION,1,Protocadherin-1 ,PCDH1,PCDH1
OID20538,OID20538,ISM1,B1AKI9,INFLAMMATION,1,Isthmin-1,ISM1,ISM1
OID20610,OID20610,CCL3,P10147,INFLAMMATION,1,C-C motif chemokine 3 ,CCL3,CCL3
OID20481,OID20481,IL17D,Q8TAD2,INFLAMMATION,1,Interleukin-17D ,IL17D,IL17D
OID20777,OID20777,PON3,Q15166,INFLAMMATION,1,Serum paraoxonase/lactonase 3 ,PON3,PON3
OID20545,OID20545,NFATC1,O95644,INFLAMMATION,1,"Nuclear factor of activated T-cells, cytoplasmic 1 ",NFATC1,NFATC1
OID20475,OID20475,SPRY2,O43597,INFLAMMATION,1,Protein sprouty homolog 2 ,SPRY2,SPRY2
OID20676,OID20676,SMPDL3A,Q92484,INFLAMMATION,1,Acid sphingomyelinase-like phosphodiesterase 3a ,SMPDL3A,SMPDL3A
OID20474,OID20474,TANK,Q92844,INFLAMMATION,1,TRAF family member-associated NF-kappa-B activator ,TANK,TANK
OID20429,OID20429,LILRB4,Q8NHJ6,INFLAMMATION,1,Leukocyte immunoglobulin-like receptor subfamily B member 4 ,LILRB4,LILRB4
OID20450,OID20450,IL2RB,P14784,INFLAMMATION,1,Interleukin-2 receptor subunit beta ,IL2RB,IL2RB
OID20554,OID20554,ARHGEF12,Q9NZN5,INFLAMMATION,1,Rho guanine nucleotide exchange factor 12 ,ARHGEF12,ARHGEF12
